Date,Open,High,Low,Close,Volume,OpenInt,Stock
11/2/2017,180.6300049,181.9400024,177.3399963,178.9199982,35529900,0,FB
11/3/2017,179.2899933,179.8600006,176.7100067,178.9199982,17822100,0,FB
11/6/2017,178.5599976,180.4499969,178.3099976,180.1699982,13312700,0,FB
11/7/2017,180.5,180.75,178.9600067,180.25,12928200,0,FB
11/8/2017,179.7899933,180.3500061,179.1100006,179.5599976,10494100,0,FB
11/9/2017,178.3099976,179.3999939,177.0899963,179.3000031,12610300,0,FB
11/10/2017,178.3500061,179.1000061,177.9600067,178.4600067,11070200,0,FB
11/13/2017,177.5,179.0399933,177.3000031,178.7700043,9523400,0,FB
11/14/2017,178.1300049,178.9700012,177.1799927,178.0700073,9585900,0,FB
11/15/2017,176.6600037,178.5700073,176.3999939,177.9499969,10253700,0,FB
11/16/2017,178.7599945,179.8300018,178.5,179.5899963,15607600,0,FB
11/17/2017,179.3000031,179.9799957,178.8999939,179,13018000,0,FB
11/20/2017,178.8699951,179.5,178.1000061,178.7400055,10052400,0,FB
11/21/2017,179.1499939,181.8899994,178.9900055,181.8600006,14504000,0,FB
11/22/2017,181.3000031,181.7299957,180.4400024,180.8699951,10376300,0,FB
11/24/2017,180.3999939,183.1499939,180.2899933,182.7799988,9426300,0,FB
11/27/2017,182.5599976,183.7299957,181.9900055,183.0299988,12344500,0,FB
11/28/2017,183.5099945,184.25,182.0899963,182.4199982,14379700,0,FB
11/29/2017,181.8899994,181.9700012,174,175.1300049,41933500,0,FB
11/30/2017,176.8500061,178.2799988,175.1999969,177.1799927,25307600,0,FB
12/1/2017,176.0299988,177.4799957,172.3399963,175.1000061,20182500,0,FB
12/4/2017,176.2899933,176.5700073,170.7899933,171.4700012,24459400,0,FB
12/5/2017,170.4499969,175.3800049,169.0099945,172.8300018,20184900,0,FB
12/6/2017,172.5,176.7700043,171.8999939,176.0599976,20255800,0,FB
12/7/2017,175.8000031,180.3899994,175.8000031,180.1399994,20404500,0,FB
12/8/2017,181.5299988,182.2799988,178.7400055,179,19883800,0,FB
12/11/2017,179.3000031,180.2200012,178.8000031,179.0399933,13168600,0,FB
12/12/2017,178.6000061,179.1799927,176.6000061,176.9600067,16854100,0,FB
12/13/2017,177.3000031,179.1600037,177.25,178.3000031,14615700,0,FB
12/14/2017,178.2899933,180.3600006,177.6799927,178.3899994,13591000,0,FB
12/15/2017,179.0200043,180.4900055,178.3600006,180.1799927,28463100,0,FB
12/18/2017,181.0099945,181.3000031,179.75,180.8200073,17265400,0,FB
12/19/2017,179.9499969,180.0800018,178.2200012,179.5099945,14920600,0,FB
12/20/2017,179.8099976,179.8099976,177.3600006,177.8899994,11860500,0,FB
12/21/2017,177.9400024,178.6799927,177.0500031,177.4499969,11600700,0,FB
12/22/2017,177.1399994,177.5299988,176.2299957,177.1999969,8509500,0,FB
12/26/2017,176.6300049,177,174.6699982,175.9900055,8897300,0,FB
12/27/2017,176.5500031,178.4400024,176.2599945,177.6199951,9496100,0,FB
12/28/2017,177.9499969,178.9400024,177.6799927,177.9199982,12220800,0,FB
12/29/2017,178,178.8500061,176.4600067,176.4600067,10261500,0,FB
1/2/2018,177.6799927,181.5800018,177.5500031,181.4199982,18151900,0,FB
1/3/2018,181.8800049,184.7799988,181.3300018,184.6699982,16886600,0,FB
1/4/2018,184.8999939,186.2100067,184.1000061,184.3300018,13880900,0,FB
1/5/2018,185.5899963,186.8999939,184.9299927,186.8500061,13574500,0,FB
1/8/2018,187.1999969,188.8999939,186.3300018,188.2799988,17994700,0,FB
1/9/2018,188.6999969,188.8000031,187.1000061,187.8699951,12393100,0,FB
1/10/2018,186.9400024,187.8899994,185.6300049,187.8399963,10529900,0,FB
